region,lat,lon,soil_attribute,unit,upper_depth_cm,lower_depth_cm,value,lower_uncertainty,upper_uncertainty
New South Wales,-34.5,146.5,AWC,%,5.0,15.0,12.068777084350586,4.909473419189453,19.22808074951172
New South Wales,-34.5,146.5,AWC,%,15.0,30.0,12.248651504516602,5.541868686676025,18.955434799194336
New South Wales,-34.5,146.5,AWC,%,30.0,60.0,12.171714782714844,5.290841102600098,19.052589416503906
New South Wales,-34.5,146.5,AWC,%,60.0,100.0,12.09519100189209,4.901268482208252,19.28911590576172
New South Wales,-34.5,146.5,AWC,%,100.0,200.0,11.609331130981445,2.6102914810180664,20.60837173461914
New South Wales,-34.5,146.5,PHC,None,0.0,5.0,5.333181381225586,4.5969157218933105,6.244387626647949
New South Wales,-34.5,146.5,PHC,None,5.0,15.0,5.343210220336914,4.5590996742248535,6.339263916015625
New South Wales,-34.5,146.5,PHC,None,15.0,30.0,5.5515899658203125,4.602488040924072,6.620757579803467
New South Wales,-34.5,146.5,PHC,None,30.0,60.0,5.730688571929932,4.718752861022949,6.957947731018066
New South Wales,-34.5,146.5,PHC,None,60.0,100.0,6.028952121734619,4.962529182434082,7.212375640869141
New South Wales,-34.5,146.5,PHC,None,100.0,200.0,6.237617492675781,5.112046718597412,7.689384937286377
New South Wales,-34.5,146.5,SOC,%,0.0,5.0,3.0830941200256348,0.7807307243347168,11.798636436462402
New South Wales,-34.5,146.5,SOC,%,5.0,15.0,1.992222785949707,0.5230262875556946,6.6398162841796875
New South Wales,-34.5,146.5,SOC,%,15.0,30.0,1.165593147277832,0.2972748577594757,4.159512519836426
New South Wales,-34.5,146.5,SOC,%,30.0,60.0,0.5629346370697021,0.12322244793176651,2.4497382640838623
New South Wales,-34.5,146.5,SOC,%,60.0,100.0,0.3761763274669647,0.07438616454601288,1.8638924360275269
New South Wales,-34.5,146.5,SOC,%,100.0,200.0,0.25084179639816284,0.04347182810306549,1.3166208267211914
New South Wales,-34.5,146.5,DEPTH_OF_REGOLITH,,-9999.0,-9999.0,4.652921199798584,-9999.0,-9999.0
New South Wales,-34.5,146.5,DEPTH_OF_SOIL,,-9999.0,-9999.0,0.6959657073020935,-9999.0,-9999.0
Queensland,-27.5,151.5,BULK-DENSITY,g/cm3,0.0,5.0,1.2473136186599731,1.0522416830062866,1.4423856735229492
Queensland,-27.5,151.5,BULK-DENSITY,g/cm3,5.0,15.0,1.2830926179885864,1.100620150566101,1.4655653238296509
Queensland,-27.5,151.5,BULK-DENSITY,g/cm3,15.0,30.0,1.307455062866211,1.1198679208755493,1.4950422048568726
Queensland,-27.5,151.5,BULK-DENSITY,g/cm3,30.0,60.0,1.2933069467544556,1.132725477218628,1.4538884162902832
Queensland,-27.5,151.5,BULK-DENSITY,g/cm3,60.0,100.0,1.3210368156433105,1.1511489152908325,1.4909247159957886
Queensland,-27.5,151.5,BULK-DENSITY,g/cm3,100.0,200.0,1.3528810739517212,1.1956216096878052,1.5101408958435059
Queensland,-27.5,151.5,CLAY,%,0.0,5.0,42.67544174194336,27.82794952392578,57.52293395996094
Queensland,-27.5,151.5,CLAY,%,5.0,15.0,44.40668869018555,28.673480987548828,60.139896392822266
Queensland,-27.5,151.5,CLAY,%,15.0,30.0,49.00475311279297,32.7628059387207,65.2467041015625
Queensland,-27.5,151.5,CLAY,%,30.0,60.0,52.20254898071289,35.34956741333008,69.05552673339844
Queensland,-27.5,151.5,CLAY,%,60.0,100.0,53.37786865234375,36.84965896606445,69.90608215332031
Queensland,-27.5,151.5,CLAY,%,100.0,200.0,51.79002380371094,34.3856201171875,69.19442749023438
Queensland,-27.5,151.5,SAND,%,0.0,5.0,34.4215087890625,16.240741729736328,52.60227584838867
Queensland,-27.5,151.5,SAND,%,5.0,15.0,33.18093490600586,14.49404525756836,51.86782455444336
Queensland,-27.5,151.5,SAND,%,15.0,30.0,29.34152603149414,10.07647705078125,48.60657501220703
Queensland,-27.5,151.5,SAND,%,30.0,60.0,24.872905731201172,4.923877716064453,44.82193374633789
Queensland,-27.5,151.5,SAND,%,60.0,100.0,23.728111267089844,3.626239776611328,43.82998275756836
Queensland,-27.5,151.5,SAND,%,100.0,200.0,24.661222457885742,3.7571239471435547,45.56532287597656
Queensland,-27.5,151.5,SILT,%,0.0,5.0,14.651923179626465,7.313676834106445,24.51423454284668
Queensland,-27.5,151.5,SILT,%,5.0,15.0,14.568405151367188,7.4527974128723145,24.046615600585938
Queensland,-27.5,151.5,SILT,%,15.0,30.0,14.100316047668457,7.167049407958984,23.357337951660156
