forecast_window,model,strategy,threshold,validation_precision,validation_recall,validation_f1,test_precision,test_recall,test_f1,test_accuracy,test_brier,test_roc_auc,test_pr_auc,test_positive_rate,n_test
May-Aug,LogisticRegression,precision_ge_0_3,0.22,0.3333333333333333,0.6923076923076923,0.45,0.2727272727272727,0.7777777777777778,0.40384615384615385,0.5838926174496645,0.14691567956632828,0.6479963570127504,0.25319130218484615,0.5167785234899329,149
May-Aug,HistGradientBoostingClassifier,best_f1,0.18,0.1935483870967742,0.9230769230769231,0.32,0.2,0.9259259259259259,0.32894736842105265,0.31543624161073824,0.1484793009814893,0.531117182756527,0.19307053638010016,0.8389261744966443,149
May-Aug,HistGradientBoostingClassifier,recall_ge_0_5,0.18,0.1935483870967742,0.9230769230769231,0.32,0.2,0.9259259259259259,0.32894736842105265,0.31543624161073824,0.1484793009814893,0.531117182756527,0.19307053638010016,0.8389261744966443,149
May-Aug,HistGradientBoostingClassifier,precision_ge_0_3,0.19,0.25,0.07692307692307693,0.11764705882352941,0.16216216216216217,0.2222222222222222,0.1875,0.6510067114093959,0.1484793009814893,0.531117182756527,0.19307053638010016,0.2483221476510067,149
May-Aug,LightGBMClassifier,best_f1,0.14,0.16,0.9230769230769231,0.2727272727272727,0.208,0.9629629629629629,0.34210526315789475,0.3288590604026846,0.1493514641058263,0.6006375227686703,0.21452809207555384,0.8389261744966443,149
May-Aug,LightGBMClassifier,recall_ge_0_5,0.14,0.16,0.9230769230769231,0.2727272727272727,0.208,0.9629629629629629,0.34210526315789475,0.3288590604026846,0.1493514641058263,0.6006375227686703,0.21452809207555384,0.8389261744966443,149
May-Aug,LightGBMClassifier,precision_ge_0_3,0.33,0.3333333333333333,0.07692307692307693,0.125,0.0,0.0,0.0,0.7181208053691275,0.1493514641058263,0.6006375227686703,0.21452809207555384,0.10067114093959731,149
May-Aug,CatBoostClassifier,best_f1,0.25,0.4,0.46153846153846156,0.42857142857142855,0.24,0.6666666666666666,0.35294117647058826,0.5570469798657718,0.19928405819921124,0.6625683060109289,0.26469832109291525,0.5033557046979866,149
May-Aug,CatBoostClassifier,recall_ge_0_5,0.2,0.2857142857142857,0.7692307692307693,0.4166666666666667,0.2222222222222222,0.8888888888888888,0.35555555555555557,0.4161073825503356,0.19928405819921124,0.6625683060109289,0.26469832109291525,0.7248322147651006,149
May-Aug,CatBoostClassifier,precision_ge_0_3,0.25,0.4,0.46153846153846156,0.42857142857142855,0.24,0.6666666666666666,0.35294117647058826,0.5570469798657718,0.19928405819921124,0.6625683060109289,0.26469832109291525,0.5033557046979866,149
May-Sep,LogisticRegression,best_f1,0.25,0.3235294117647059,0.8461538461538461,0.46808510638297873,0.2358490566037736,0.9259259259259259,0.37593984962406013,0.4429530201342282,0.1506446558322702,0.6516393442622951,0.24379413406188236,0.7114093959731543,149
May-Sep,LogisticRegression,recall_ge_0_5,0.25,0.3235294117647059,0.8461538461538461,0.46808510638297873,0.2358490566037736,0.9259259259259259,0.37593984962406013,0.4429530201342282,0.1506446558322702,0.6516393442622951,0.24379413406188236,0.7114093959731543,149
May-Sep,LogisticRegression,precision_ge_0_3,0.25,0.3235294117647059,0.8461538461538461,0.46808510638297873,0.2358490566037736,0.9259259259259259,0.37593984962406013,0.4429530201342282,0.1506446558322702,0.6516393442622951,0.24379413406188236,0.7114093959731543,149
May-Sep,HistGradientBoostingClassifier,best_f1,0.63,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.28169014084507044,0.7407407407407407,0.40816326530612246,0.610738255033557,0.19740211874393754,0.6938372799028536,0.2694019731348358,0.47651006711409394,149
May-Sep,HistGradientBoostingClassifier,recall_ge_0_5,0.63,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.28169014084507044,0.7407407407407407,0.40816326530612246,0.610738255033557,0.19740211874393754,0.6938372799028536,0.2694019731348358,0.47651006711409394,149
