forecast_window,experiment,model,metric,value,alpha,n_train,n_val,n_test
May-Oct,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Oct,direct_paper_safe,Ridge,MAE,0.5390326659350942,-1.0,701,116,149
May-Oct,direct_paper_safe,Ridge,RMSE,0.8903777421776929,-1.0,701,116,149
May-Oct,direct_paper_safe,Ridge,R2,0.5052065744529366,-1.0,701,116,149
May-Oct,residual_paper_safe,Ridge,MAE,0.5832796078894973,1.1,701,116,149
May-Oct,residual_paper_safe,Ridge,RMSE,0.9481697003527271,1.1,701,116,149
May-Oct,residual_paper_safe,Ridge,R2,0.4388906876357028,1.1,701,116,149
May-Oct,direct_paper_safe,ElasticNet,MAE,0.5663289609592881,-1.0,701,116,149
May-Oct,direct_paper_safe,ElasticNet,RMSE,0.9143263220602699,-1.0,701,116,149
May-Oct,direct_paper_safe,ElasticNet,R2,0.47823159686894945,-1.0,701,116,149
May-Oct,residual_paper_safe,ElasticNet,MAE,0.6159136853829207,1.2000000000000002,701,116,149
May-Oct,residual_paper_safe,ElasticNet,RMSE,0.9797754935988643,1.2000000000000002,701,116,149
May-Oct,residual_paper_safe,ElasticNet,R2,0.40085977832883957,1.2000000000000002,701,116,149
May-Oct,direct_paper_safe,LightGBM,MAE,0.5820317220980984,-1.0,701,116,149
May-Oct,direct_paper_safe,LightGBM,RMSE,0.8969204965764799,-1.0,701,116,149
May-Oct,direct_paper_safe,LightGBM,R2,0.4979080851449885,-1.0,701,116,149
May-Oct,residual_paper_safe,LightGBM,MAE,0.6256156039807033,0.75,701,116,149
May-Oct,residual_paper_safe,LightGBM,RMSE,0.9943931450471085,0.75,701,116,149
May-Oct,residual_paper_safe,LightGBM,R2,0.3828488050785174,0.75,701,116,149
