model_group,model,feature_regime,forecast_window,MAE,RMSE,R2,validation_RMSE,n_train,n_val,n_test,selected_hyperparams,seed,runtime_seconds,status,train_RMSE
Classical ML,SVR-RBF,no_yield_history_weather_soil,May-Jul,0.6730207341340062,0.9777764716709108,0.4033021187005603,0.7472157063410689,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.11368599999696016,ok,
Strong tabular ML,HistGradientBoosting,no_yield_history_weather_soil,May-Jul,0.677735412847179,1.0435588145514136,0.32031264216907607,0.6461942744458578,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.4534622999999556,ok,
Strong tabular ML,XGBoost,no_yield_history_weather_soil,May-Jul,0.6752844019046312,1.0225799745273698,0.34736569576675,0.6519821039382007,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.8}",42,0.33502779999980703,ok,
Strong tabular ML,LightGBM,no_yield_history_weather_soil,May-Jul,0.6907644915975582,1.057250989440558,0.30235974663254017,0.6496915758284716,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.14410579999821493,ok,
Strong tabular ML,CatBoost,no_yield_history_weather_soil,May-Jul,0.659129844931013,0.9510172780774107,0.43551533896655537,0.6515110376897262,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.26007709999976214,ok,
Interpretable ML,GAM,no_yield_history_weather_soil,May-Jul,1.1231287151672797,1.4601665318857036,-0.3306998574363773,0.9094482773535477,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,5.008167799998773,ok,
Classical ML,Ridge,operational_with_yield_history,May-Jul,0.5273923980870466,0.7164947091338811,0.6795935086960747,0.5842699358194511,701,116,149,"{""alpha"": 3.0}",42,0.04972080000152346,ok,
Classical ML,ElasticNet,operational_with_yield_history,May-Jul,0.5139088597772685,0.7168677790513697,0.6792597584486779,0.5155798978984527,701,116,149,"{""alpha"": 0.03, ""l1_ratio"": 0.4}",42,0.05913249999866821,ok,
Classical ML,RandomForest,operational_with_yield_history,May-Jul,0.6028759715551402,0.8602172819497271,0.5381598799546474,0.583448256800645,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.976283500000136,ok,
Classical ML,SVR-RBF,operational_with_yield_history,May-Jul,0.6398820473089414,0.9650248831013911,0.4187642024056091,0.7189454832598485,701,116,149,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.0882872000001953,ok,
Strong tabular ML,HistGradientBoosting,operational_with_yield_history,May-Jul,0.5655214691259,0.8273442991564912,0.5727836275198483,0.6024375767198021,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.505503399996087,ok,
Strong tabular ML,XGBoost,operational_with_yield_history,May-Jul,0.5647459655104059,0.8113203239493385,0.5891719942140414,0.6057518546890732,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.8}",42,0.4738126999945962,ok,
Strong tabular ML,LightGBM,operational_with_yield_history,May-Jul,0.5953512419391929,0.854603380234204,0.5441682800371971,0.5967552086327683,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.21667660000093747,ok,
Strong tabular ML,CatBoost,operational_with_yield_history,May-Jul,0.6031280276580927,0.8762713852955833,0.5207605173751778,0.6044481638381003,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.39454639999894425,ok,
Interpretable ML,GAM,operational_with_yield_history,May-Jul,1.0351817625960555,1.4999765390928192,-0.40424945299279136,0.9322676171153921,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,5.982846699997026,ok,
Classical ML,Ridge,no_yield_history_weather_soil,May-Aug,0.6679576733553314,1.0140790361953875,0.35817158519560444,0.6790073697688574,701,116,149,"{""alpha"": 3.0}",42,0.03376199999911478,ok,
Classical ML,ElasticNet,no_yield_history_weather_soil,May-Aug,0.6635643080976686,1.0066655694109923,0.3675215097133836,0.6749671543721606,701,116,149,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",42,0.040547199998400174,ok,
Classical ML,RandomForest,no_yield_history_weather_soil,May-Aug,0.666134116867673,1.0187006983861284,0.3523079917370858,0.613511254654203,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.9493862999952398,ok,
Classical ML,SVR-RBF,no_yield_history_weather_soil,May-Aug,0.7129470676892609,1.0385668632318927,0.32679977233567814,0.6665862246087972,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.08465900000010151,ok,
Strong tabular ML,HistGradientBoosting,no_yield_history_weather_soil,May-Aug,0.6090192821584604,0.9675077089448996,0.4157695362467013,0.570297499831431,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.33542030000535306,ok,
Strong tabular ML,XGBoost,no_yield_history_weather_soil,May-Aug,0.6369852986503132,0.972577894842208,0.4096302185666091,0.6094064254839954,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""reg_lambda"": 10.0, ""subsample"": 0.8}",42,0.3442938000007416,ok,
Strong tabular ML,LightGBM,no_yield_history_weather_soil,May-Aug,0.6213753218657934,0.979105391123184,0.40167904366780816,0.5957951310289159,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.13702899999771034,ok,
Strong tabular ML,CatBoost,no_yield_history_weather_soil,May-Aug,0.6521329716699621,0.9839647637366962,0.3957252832728052,0.6065093067836229,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.25447970000095665,ok,
